shipment_id,shipper_id,product_type,weight_kg,origin,destination,required_min_temp_c,required_max_temp_c,pickup_start_hour,pickup_end_hour,delivery_deadline_hr,priority,created_day
S054,MSME_59,Leafy Vegetables,786,Cuttack,Ranchi,2,8,10,15,45,High,3
S055,MSME_65,Spices,267,Visakhapatnam,Cuttack,15,30,10,15,33,Medium,3
S056,MSME_27,Flowers,361,Rourkela,Jamshedpur,2,8,1,5,20,Low,4
S057,MSME_47,Pharmaceuticals,808,Balasore,Visakhapatnam,2,8,9,13,31,Medium,4
S058,MSME_59,Tomato,251,Balasore,Hyderabad,8,13,4,7,19,High,1
S059,MSME_61,Rice,551,Jamshedpur,Chennai,15,30,5,8,22,High,1
S060,MSME_49,Dairy,735,Jamshedpur,Chennai,2,8,0,2,43,Critical,2
S061,MSME_54,Tomato,748,Gopalpur,Cuttack,8,13,7,9,28,Critical,2
S062,MSME_16,Tomato,544,Gopalpur,Jamshedpur,8,13,9,14,20,High,1
S063,MSME_24,Flowers,403,Gopalpur,Chennai,2,8,10,12,30,High,3
S064,MSME_44,Dairy,137,Ranchi,Hyderabad,2,8,13,16,29,High,4
S065,MSME_38,Frozen Food,407,Gopalpur,Cuttack,-20,-15,8,11,33,Medium,3
S066,MSME_54,Banana,751,Balasore,Visakhapatnam,12,15,12,14,24,High,3
S067,MSME_44,Frozen Food,206,Ranchi,Cuttack,-20,-15,1,5,22,High,4
S068,MSME_25,Dairy,631,Cuttack,Raipur,2,8,3,6,30,Critical,4
S069,MSME_69,Dairy,798,Gopalpur,Kolkata,2,8,4,7,44,Medium,3
S070,MSME_33,Rice,106,Ranchi,Hyderabad,15,30,16,21,44,High,2
S071,MSME_58,Flowers,398,Balasore,Kolkata,2,8,13,17,38,Medium,3
S072,MSME_20,Frozen Food,268,Ranchi,Cuttack,-20,-15,6,10,35,Critical,1
S073,MSME_18,Mango,284,Cuttack,Jamshedpur,8,12,14,16,43,Medium,4
S074,MSME_10,Leafy Vegetables,893,Balasore,Ranchi,2,8,7,10,32,Medium,7
S075,MSME_34,Packaged Food,371,Jamshedpur,Cuttack,15,30,12,15,18,High,3
S076,MSME_33,Spices,192,Jamshedpur,Cuttack,15,30,2,6,45,Low,1
S077,MSME_30,Flowers,535,Puri,Bhubaneswar,2,8,0,4,22,Medium,5
S078,MSME_52,Rice,514,Bhubaneswar,Kolkata,15,30,4,6,33,Low,1
S079,MSME_55,Leafy Vegetables,223,Ranchi,Hyderabad,2,8,3,8,25,High,2
S080,MSME_39,Tomato,233,Cuttack,Visakhapatnam,8,13,13,18,13,Medium,2
S081,MSME_14,Mango,767,Sambalpur,Ranchi,8,12,1,5,44,High,7
S082,MSME_50,Spices,653,Ranchi,Hyderabad,15,30,9,13,31,High,7
S083,MSME_28,Rice,162,Visakhapatnam,Ranchi,15,30,10,12,14,Critical,4
S084,MSME_60,Frozen Food,634,Gopalpur,Kolkata,-20,-15,0,5,48,Medium,5
S085,MSME_12,Leafy Vegetables,808,Jamshedpur,Bhubaneswar,2,8,2,4,39,Medium,5
S086,MSME_25,Pharmaceuticals,502,Sambalpur,Ranchi,2,8,1,5,17,Medium,5
S087,MSME_31,Rice,603,Bhubaneswar,Kolkata,15,30,3,6,20,High,4
S088,MSME_66,Tomato,522,Sambalpur,Raipur,8,13,10,13,26,High,7
S089,MSME_69,Flowers,687,Berhampur,Ranchi,2,8,4,9,43,High,6
S090,MSME_50,Frozen Food,370,Rourkela,Visakhapatnam,-20,-15,9,14,40,Critical,1
S091,MSME_45,Mango,130,Balasore,Hyderabad,8,12,8,12,16,Medium,3
S092,MSME_21,Pharmaceuticals,680,Puri,Hyderabad,2,8,14,19,18,Low,7
S093,MSME_12,Tomato,649,Ranchi,Bhubaneswar,8,13,7,10,13,High,3
S094,MSME_36,Frozen Food,569,Puri,Raipur,-20,-15,4,6,46,Medium,2
S095,MSME_67,Flowers,124,Sambalpur,Hyderabad,2,8,15,20,48,High,7
S096,MSME_58,Mango,260,Balasore,Cuttack,8,12,14,18,39,Medium,5
S097,MSME_59,Spices,459,Gopalpur,Ranchi,15,30,3,8,37,High,4
S098,MSME_32,Packaged Food,302,Sambalpur,Ranchi,15,30,9,13,13,High,3
S099,MSME_24,Dairy,439,Gopalpur,Ranchi,2,8,13,18,19,High,1
S100,MSME_56,Spices,132,Cuttack,Hyderabad,15,30,1,5,25,Medium,3
